"doffin_referanse";"navn";"publisert_av";"kunngjoring_type";"kunngjoring_dato";"tilbudsfrist_dato";"lenke";"cpv";"beskrivelse";"estimert_totalverdi";"kunngjort_uke";"kunngjort_år";"fristlengde"
"2021-306065";"En studie av partnerskapsbegrepet. Hvordan utøves partnerskap i bistandssamarbeid? Analyse og sammenligning av ulike modeller og praksiser.";"Norec ";"Kunngjøring av konkurranse";"2021-08-29";"2021-09-13";"/Notice/Details/2021-306065";"73000000";"Gjennomføring av en studie for å kartlegge og etablere ulike trender innen for bruken av partnerskapsbegrepet i utviklingssamarbeid. Funnene skal samles i ett produkt, som f.eks. en rapport, men kan også bestå av ulike elementer som videoer, kortere tekster for bruk i sosiale medier, illustrasjoner m.m. Studien må basere seg på anerkjent forskning og metoder.";"500000";"35";"2021";"15"
"2021-321603";"Følgeevaluering av foreldreveiledning til foreldre med ungdom";"Barne-, ungdoms- og familiedirektoratet ";"Kunngjøring av konkurranse";"2021-08-27";"2021-09-24";"/Notice/Details/2021-321603";"73000000";"På bakgrunn av tiltak 18 i regjeringens foreldrestøttestrategi skal det høsten 2021 prøves ut en revidert versjon av ICDP (International Child Development Program) utviklet spesielt for målgruppen foreldre med ungdom. Formålet med forskningsoppdraget er å få kunnskap om den reviderte ungdomsversjonen av ICDP fungerer slik som tiltenkt i henhold til teoretiske antakelser og tidligere erfaringer med foreldreveiledning til denne målgruppen. Funn og anbefalinger vil bli brukt til å vurdere om implementering av tiltaket skal skaleres opp til et nasjonalt nivå.";NA;"35";"2021";"28"
"2021-356334";"Erfaringer og effekter ved gjennomføring av kommunesammenslåing med indirekte valgte kommunestyrer";"Kommunal- og moderniseringsdepartementet ";"Kunngjøring av konkurranse";"2021-08-27";"2021-09-20";"/Notice/Details/2021-356334";"73000000";"I flere av kommunesammenslåingene ble kommunestyret i den nye kommunen valgt gjennom indirekte valg, dvs. representantene til det nye kommunestyret ble valgt blant medlemmene av kommunestyrene i de tidligere kommunene. I tidligere rapporter om erfaringer fra sammenslåinger i reformene, er modellen med indirekte valg i liten grad adressert som eget tema. Departementet ønsker derfor å innhente mer kunnskap om hvordan denne modellen fungerte i de aktuelle sammenslåingene og hvilke effekter det har gitt i etableringen av de nye kommunene. Utredningen skal belyse hvilke demokratiske fordeler og ulemper modellen med indirekte valg av nytt kommunestyre ga i sammenslåingsprosessen og oppstarten av de nye kommunene. Funnene skal sammenlignes med erfaringer fra kommuner hvor sammenslåingen ble gjennomført med (ekstra)ordinært kommunestyrevalg.";"500000";"35";"2021";"24"
"2021-319504";"Kunnskapsgrunnlag for regional plan for berekraftige byar og stader i Vestland";"Vestland fylkeskommune ";"Kunngjøring av konkurranse";"2021-08-23";"2021-09-10";"/Notice/Details/2021-319504";"73000000";"Konkurranse om anskaffing av konsulenttenester for å evaluere bruk og effekt av gjeldande Regional plan for attraktive senter i Hordaland - senterstruktur, tenester og handel (2015-2026), Strategi for tettstadutvikling og senterstruktur Sogn og Fjordane fylkeskommune (2018–2022) og Handelføresegn med retningslinjer for Sogn og Fjordane (2019) ut frå mål, strategiar, retningslinjer og føresegner.";"500000";"34";"2021";"18"
"2021-308436";"Parallelloppdrag Nesna Kommune";"Nesna kommune ";"Kunngjøring av konkurranse";"2021-08-23";"2021-09-10";"/Notice/Details/2021-308436";"73220000";NA;NA;"34";"2021";"18"
"2021-304251";"Pulsed Laser Deposition system (PLD)";"Universitetet i Oslo ";"Kunngjøring av konkurranse";"2021-08-21";"2021-09-27";"/Notice/Details/2021-304251";"38000000";"Universitetet i Oslo ønsker å gå til innkjøp av et PLD system til mikro- og nanoteknologlaboratoriet.";NA;"34";"2021";"37"
"2021-355672";"Deltakelse i StartOff-prosjekt med NAV - Unge på vei til jobb";"Direktoratet for forvaltning og økonomistyring (DFØ) ";"Kunngjøring av konkurranse";"2021-08-20";"2021-09-20";"/Notice/Details/2021-355672";"73000000";"NAV tilbyr en rekke tiltak og virkemidler for å hjelpe mennesker inn i/tilbake til arbeidslivet. Dette kan eksempelvis være kvalifiserende tiltak, oppfølgingstiltak, lønnstilskudd eller hjelpemidler. Flere unge mennesker er i en særlig sårbar situasjon med lite arbeidserfaring og ofte manglende formell kompetanse. Unge under 30 år en prioritert gruppe for bistand fra NAV.
Ett av tiltakene NAV tilbyr er det som etter tiltaksforskriften kalles for avklaring. Det er dette tiltaket NAV nå ønsker å utforske med nye ideer fra private aktører. Dette er et tiltak hvor formålet er å kartlegge og vurdere deltakerens arbeidsevne og eventuelle spesifikke behov for bistand for å skaffe seg eller beholde arbeid.
Konkurransen gjennomføres via StartOff. Dette et program som skal gjøre det enklere for offentlige virksomheter å hente ut innovasjonskraften i oppstartsmarkedet.
NAV har med denne konkurransen satt av kr. 600.000,- til dette StartOff-prosjektet.
";"600000";"34";"2021";"31"
"2021-370670";"EUs havstrategidirektiv versus de norske havforvaltningsplanene";"Miljødirektoratet ";"Kunngjøring av konkurranse";"2021-08-17";"2021-09-09";"/Notice/Details/2021-370670";"73112000";"Formålet med oppdraget er å finne forskjeller og likheter i gjennomføringen av EUs havstrategidirektiv og de norske havforvaltningsplanene. Analysen skal inneholde en sammenligning av faggrunnlag og metode for miljøtilstand, indikatorsystemet, miljømål (WG GES), terskelverdier og tiltaksgjennomføring, og inneholde en vurdering av hvordan resultatene kan brukes til å videreutvikle de norske havforvaltningsplanene og det regionale samarbeidet i OSPAR.";"250000";"33";"2021";"23"
"2021-384434";"DELTAKELSE I STARTOFF PROSJEKT MED NAV - REKRUTTERINGSLØSNING FOR BRUKERTESTER";"Direktoratet for forvaltning og økonomistyring (DFØ) ";"Kunngjøring av konkurranse";"2021-08-17";"2021-09-15";"/Notice/Details/2021-384434";"73000000";"NAV inviterer til en konkurranse i StartOff-ordningen. NAV ønsker en løsning som gjør det enkelt å rekruttere testdeltakere i utviklingen av nye tjenester.
StartOff- konkurransen gjennomføres som en innovasjonskonkurranse/ før-kommersiell anskaffelse.
";"700000";"33";"2021";"29"
"2021-362873";"Kartlegging av arbeid med bachelor- og masteroppgaver i lærerutdanningene";"Utdanningsdirektoratet ";"Kunngjøring av konkurranse";"2021-08-16";"2021-09-24";"/Notice/Details/2021-362873";"73110000";"Lærerutdanning 2025 peker på at innføringen av de femårige masterutdanningene krever samarbeid mellom lærerutdanning og skoleeier for å legge til rette for praksisrelevante masteroppgaver og god koordinering av FoU-tiltak som involverer barnehager og skoler. FRLU jobber som en del av dette med et oppdrag om arbeid med bachelor- og masteroppgaver i lærerutdanningen (se oppdragsteksten på Rådets hjemmesider). Det er i den anledning behov for å innhente oppdatert kunnskap om arbeidet med bachelor- og masteroppgaver i lærerutdanninger gjennom en kartlegging. Kartleggingen skal foregå i to faser og sette søkelys på:";NA;"33";"2021";"39"
"2021-380182";"Evaluering av forsøk med kommunale beltebilløyper for catskiing";"Miljødirektoratet ";"Kunngjøring av konkurranse";"2021-08-16";"2021-09-20";"/Notice/Details/2021-380182";"73000000";"Stortinget vedtok i 2017 å åpne for et forsøk med kommunale løyper for catskiing i inntil 6 kommuner i 6 år. Med catskiing mener vi transport av skikjørere opp på fjelltopper med tråkkemaskin eller liknende tyngre beltekjøretøy for alpin skikjøring utenfor preparerte bakker.   Forsøket åpner for at kommunene kan etablere kommunale løyper for beltebil med utgangspunkt i eksisterende alpinanlegg, med formål å transportere personer for alpin skikjøring. For ordningen gjelder de samme rammer og de samme krav til prosess som for fastsetting av snøscooterløyper. Hensikten med forsøket er å høste erfaringer av slik aktivitet, samt se på virkningene for blant annet reiseliv, friluftsliv, naturmangfold og reindrift.   Miljødirektoratet har fått i oppdrag av Klima- og miljødepartementet å evaluere ordningen.";"400000";"33";"2021";"35"
"2021-369381";"ACHILLES UTILITIES NCE qualification|notification of qualification system";"Achilles Information AS, on behalf of the utilities listed in Section VI.3) ";"Kunngjøring av konkurranse";"2021-08-15";NA;"/Notice/Details/2021-369381";"50000000";NA;NA;"33";"2021";NA
"2021-380892";"Kjøp av følgeevaluering av forsøkene med økt bemanning i barnehager";"Oslo kommune v/Byrådsavdeling for oppvekst og kunnskap ";"Kunngjøring av konkurranse";"2021-08-12";"2021-08-27";"/Notice/Details/2021-380892";"73000000";"Kjøp av følgeevaluering av forsøkene med økt grunnbemanning og ekstra ressurspedagog i barnehager.";"2000000";"32";"2021";"15"
"2021-340431";"Analyse av tjenester til ressurskrevende brukere - turnus, økonomi og tjenestetilbud";"Sømna Kommune ";"Kunngjøring av konkurranse";"2021-08-12";"2021-08-31";"/Notice/Details/2021-340431";"73220000";"Det er ønskelig med en gjennomgang av tjenestetilbudet rundt ressurskrevende brukere i Miljøtjenesten i Sømna kommune, herunder også en vurdering av økonomi og turnus.";"350000";"32";"2021";"19"
"2021-337082";"Anskaffelse - Rammeavtale konsulenttjenester for regnskapsdivisjonen";"Direktoratet for forvaltning og økonomistyring (DFØ) ";"Kunngjøring av konkurranse";"2021-08-11";"2021-09-17";"/Notice/Details/2021-337082";"72000000";"Formålet med anskaffelsen er å inngå en rammeavtale på konsulenttjenester for regnskapsdivisjonen i DFØ. Det er angitt to delområder/kompetanseområder. Det er opp til tilbyder å velge hvilke områder som skal besvares. Følgende områder inngår i rammeavtalen.
Område A: Løpende forvaltning, videreutvikling og prosjektledelse av DFØs systemløsning på regnskapsområdet.
Område B: Webinfo/Økonomiinfo.
";"200000000";"32";"2021";"37"
"2021-357864";"Oversikt over kommunale bostøtteordninger";"Husbanken ";"Kunngjøring av konkurranse";"2021-08-10";"2021-08-23";"/Notice/Details/2021-357864";"73110000";"I 2021 startet den regjeringsoppnevnte ekspertgruppen arbeidet med å gjennomgå å den statlige bostøtteordningen.
I forbindelse med dette arbeidet er det også viktig å skaffe seg et bilde av samspillet med andre virkemidler til samme målgruppe.
Ett av disse virkemidlene er kommunale bostøtteordninger. Med kommunal bostøtte mener vi en ordning med tilskudd til dekning av boutgifter for enkeltpersoner.
For å forstå samspillet mellom statlig og kommunal bostøtte er det viktig å skaffe seg en oversikt over omfanget av kommunale bostøtteordninger og hvordan ordningen er innrettet i disse kommunene.
Husbanken gjennomførte derfor i 2021 en spørreundersøkelse til kommunale bostøttesaksbehandlere. Denne undersøkelsen ga ytterligere informasjon, men svarprosenten og datakvaliteten gjør at Husbanken ser behovet for å benytte andre metoder og kilder for å få en fullstendig oversikt over kommunale bostøtteordninger.
";"300000";"32";"2021";"13"
"2021-337382";"Rammeavtale - teknisk beregningsutvalg for klima";"Miljødirektoratet ";"Kunngjøring av konkurranse";"2021-08-08";"2021-09-08";"/Notice/Details/2021-337382";"73200000";"Formålet med rammeavtalen er å gi Teknisk beregningsutvalg for klima (TBU klima) mulighet til å hente inn kapasitet og kompetanse til å løse utvalgets arbeidsoppgaver i henhold til mandatet.   Tilbyder bør ha kompetanse innen samfunnsøkonomi og kvantitative metoder, og spesielt metoder som er relevante for analyser av tiltak og virkemidler på klimaområdet, og framskrivinger av utslipp. Flere miljøer oppfordres til å gå sammen for å dekke behovet for kompetanse.   Rammeavtalens varighet er fram til utgangen av mandatperioden juni 2023.";"4000000";"32";"2021";"31"
"2021-314664";"Konsulenttjenester til rammeprogrammer og finansieringsordninger på Norges forskningsråd (NFR)";"Nord Universitet ";"Kunngjøring av konkurranse";"2021-07-27";"2021-08-27";"/Notice/Details/2021-314664";"73210000";"Nord universitet søker konsulentstøtte for kompetanseheving fra ulike utgangspunkt (uerfarne og erfarne søknadsskrivere), prosjekt-idéutvikling og utarbeidelse av søknader til rammeprogrammer og finansieringsordninger på Norges forskningsråd (utlysninger i år 2022 og 2023).
Omfanget på anskaffelsen og arbeidet anslås å være maksimalt 540.000 norske kroner eks. MVA. For ytterligere informasjon om anskaffelsens omfang og innhold vises det til kravspesifikasjonen i bilag til kontrakt.
";NA;"30";"2021";"31"
"2021-321265";"Teknisk konsulentbistand til Rural Energy Agency i Tanzania";"Utenriksdepartementet ";"Kunngjøring av konkurranse";"2021-07-17";"2021-08-16";"/Notice/Details/2021-321265";"73220000";"Norges ambassade i Dar-es-Salaam inviterer interessenter til å delta i en åpen anbudskonkurranse om teknisk konsulentbistand til Rural Energy Agency (REA) i Tanzania i forbindelse med Rural Electrification Densification Programme fase 2A (REDP 2A).
REDP retter seg mot elektrifisering av landlige områder i Tanzania. Konsulenten skal bistå REA med teknisk assistanse i gjennomføringen og oppfølgingen av REDP 2A.
";"30000000";"29";"2021";"30"
"2021-382784";"R01111 - Brukerundersøkelser - ny kunngjøring";"Forsvarsbygg ";"Kunngjøring av konkurranse";"2021-07-16";"2021-08-24";"/Notice/Details/2021-382784";"79311200";"Denne rammeavtalen skal dekke Forsvarsbyggs behov for utvikling, gjennomføring og rådgivning knyttet til de undersøkelser som er beskrevet i konkurransegrunnlaget.
Forsvarsbyggs skal gjennom sitt arbeid bidra til tilfredse kunder, innta en tydelig posisjon i bransje, sektor og omverden for øvrig, samt bygge og sikre et godt omdømme.
Forsvarsbygg skal utrede sitt fremtidige behov for brukerundersøkelser slik at Forsvarsdepartementets behov for verifisering av kvalitet og effekt av Forsvarsbyggs rådgivning fremkommer.
Forsvarsbygg skal aktivt anvende funnene i sitt kontinuerlige forbedringsarbeid.
";"2000000";"29";"2021";"39"
"2021-349499";"Anskaffelse av Evaluering av Strategiområde 1 i Kompetanseløft 2025";"Norsk Helsenett SF ";"Kunngjøring av konkurranse";"2021-07-15";"2021-09-15";"/Notice/Details/2021-349499";"73200000";"Anskaffelse av Evaluering av Strategiområde 1 i Kompetanseløft 2025.";NA;"28";"2021";"62"
"2021-380789";"Antimobbeprogrammer og læringsmiljøprogrammer i grunnutdanningen";"Utdanningsdirektoratet ";"Kunngjøring av konkurranse";"2021-07-15";"2021-09-10";"/Notice/Details/2021-380789";"79315000";"Eiere av skoleomfattende antimobbeprogrammer og læringsmiljøprogrammer som kan bidra til et godt læringsmiljø, og redusere mobbing, uro og andre atferdsproblemer i skolen, kan levere tilbud for perioden 2021-2022. I oppdraget legges det en opsjon med utvidelse av oppdraget til 2023 + med mulighet for 2024.";NA;"28";"2021";"57"
"2021-310655";"Konsulenttjenester i forbindelse med teknisk bistand for norske søkere til EUs Innovasjonsfond";"Enova SF ";"Kunngjøring av konkurranse";"2021-07-14";"2021-08-19";"/Notice/Details/2021-310655";"73000000";"Enova inviterer til åpen anbudskonkurranse om levering av konsulenttjenester i forbindelse med teknisk bistand for norske søkere til EUs Innovasjonsfond. Enova forvalter Norges deltakelse i EUs Innovasjonsfond og er tildelt en nasjonal rolle av Klima- og miljødepartementet. Formålet med denne anskaffelsen er å skaffe ekspertvurderings- og mentortjenester for norske interessenter og søkere til EUs Innovasjonsfond for perioden 2021-2023.";"3500000";"28";"2021";"36"
